# CSV-File created with merge-csv.com
# -----------------------------------------------------------

id1,id2,joinKey1,joinKey2,OG-Company-Warn,OG-Company-Nasdaq,jaccard
43553,BBWI,"[bath,and,body,works,direct,inc]","[bath,body,works,inc]","Bath and Body Works Direct, Inc",Bath & Body Works Inc.,0.6666666666666666
8417,MPAA,"[motorcar,parts,of,america,inc]","[motorcar,parts,of,america,inc,common,stock]","Motorcar Parts of America, Inc.",Motorcar Parts  of America Inc. Common Stock,0.7142857142857143
1787,WFC,"[wells,fargo,company]","[wells,fargo,company,common,stock]",Wells Fargo Company,Wells Fargo & Company Common Stock,0.6
19257,ONB,"[old,national,bancorp]","[old,national,bancorp,common,stock]",Old National Bancorp,Old National Bancorp Common Stock,0.6
5588,ODFL,"[old,dominion,freight,line,inc]","[old,dominion,freight,line,inc,common,stock]","Old Dominion Freight Line, Inc.",Old Dominion Freight Line Inc. Common Stock,0.7142857142857143
33618,BK,"[bank,of,new,york,mellon]","[the,bank,of,new,york,mellon,corporation,common,stock]",Bank of New York Mellon,The Bank of New York Mellon Corporation Common Stock,0.5555555555555556
10265,SP,"[sp,plus,corporation]","[sp,plus,corporation,common,stock]",SP Plus Corporation,SP Plus Corporation Common Stock,0.6
12169,CTG,"[computer,task,group,inc]","[computer,task,group,inc,common,stock]","Computer Task Group, Inc",Computer Task Group Inc. Common Stock,0.6666666666666666
8547,FIX,"[california,comfort,systems,usa,inc]","[comfort,systems,usa,inc,common,stock]","California Comfort Systems USA, Inc.",Comfort Systems USA Inc. Common Stock,0.5714285714285714
12603,NWPX,"[northwest,pipe,company]","[northwest,pipe,company,common,stock]",Northwest Pipe Company,Northwest Pipe Company Common Stock,0.6
41319,BK,"[bank,of,new,york,mellon]","[the,bank,of,new,york,mellon,corporation,common,stock]",Bank of New York Mellon,The Bank of New York Mellon Corporation Common Stock,0.5555555555555556
8623,DVAX,"[dynavax,technologies,corporation]","[dynavax,technologies,corporation,common,stock]",Dynavax Technologies Corporation,Dynavax Technologies Corporation Common Stock,0.6
2463,UBER,"[uber,technologies,inc]","[uber,technologies,inc,common,stock]","Uber Technologies, Inc.",Uber Technologies Inc. Common Stock,0.6
3320,ICPT,"[intercept,pharmaceuticals,inc]","[intercept,pharmaceuticals,inc,common,stock]","Intercept Pharmaceuticals, Inc.",Intercept Pharmaceuticals Inc. Common Stock,0.6
10570,GNW,"[genworth,financial,inc]","[genworth,financial,inc,common,stock]","Genworth Financial, Inc.",Genworth Financial Inc Common Stock,0.6
14841,BKD,"[brookdale,senior,living,inc]","[brookdale,senior,living,inc,common,stock]","Brookdale Senior Living, Inc",Brookdale Senior Living Inc. Common Stock,0.6666666666666666
25461,FL,"[foot,locker,retail,inc,office]","[foot,locker,inc]","Foot Locker Retail, Inc. Office",Foot Locker Inc.,0.6
26316,TMO,"[thermo,fisher,scientific,inc,metavac]","[thermo,fisher,scientific,inc,common,stock]",Thermo Fisher Scientific Inc./Metavac,Thermo Fisher Scientific Inc Common Stock,0.5714285714285714
31993,LOW,"[lowe,s,companies,inc]","[lowe,s,companies,inc,common,stock]","Lowe's Companies, Inc.",Lowe's Companies Inc. Common Stock,0.6666666666666666
38343,LFLY,"[leafly,holdings,inc]","[leafly,holdings,inc,common,stock]",Leafly Holdings Inc,Leafly Holdings Inc. Common Stock,0.6
3889,ADI,"[analog,devices,inc]","[analog,devices,inc,common,stock]","Analog Devices, Inc.",Analog Devices Inc. Common Stock,0.6
41213,HCSG,"[healthcare,services,group,inc]","[healthcare,services,group,inc,common,stock]","Healthcare Services Group, Inc.",Healthcare Services Group Inc. Common Stock,0.6666666666666666
9481,AME,"[ametek,inc]","[ametek,inc]",AMETEK Inc.,AMETEK Inc.,1.0
17983,DLA,"[delta,apparel,inc]","[delta,apparel,inc,common,stock]","Delta Apparel, Inc",Delta Apparel Inc. Common Stock,0.6
18157,PKG,"[packaging,corporation,of,america,pca]","[packaging,corporation,of,america,common,stock]",Packaging Corporation of America (PCA),Packaging Corporation of America Common Stock,0.5714285714285714
25326,BK,"[the,bank,of,new,york,mellon,distribution,services]","[the,bank,of,new,york,mellon,corporation,common,stock]",The Bank of New York Mellon - Distribution Services,The Bank of New York Mellon Corporation Common Stock,0.5454545454545454
29074,AB,"[alliancebernstein,l,p]","[alliancebernstein,holding,l,p,units]",AllianceBernstein L.P.,AllianceBernstein Holding L.P.  Units,0.6
22198,SAIC,"[science,applications,international,corporation]","[science,applications,international,corporation,common,stock]",Science Applications International Corporation,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION Common Stock,0.6666666666666666
40010,MOH,"[molina,healthcare,inc]","[molina,healthcare,inc,common,stock]",Molina Healthcare Inc.,Molina Healthcare Inc Common Stock,0.6
1526,ORLY,"[o,reilly,automotive,inc]","[o,reilly,automotive,inc,common,stock]","O'Reilly Automotive, Inc.",O'Reilly Automotive Inc. Common Stock,0.6666666666666666
16498,WEN,"[the,wendy,s,company]","[wendy,s,company,the,common,stock]",The Wendy's Company,Wendy's Company (The) Common Stock,0.6666666666666666
2444,LYV,"[live,nation,entertainment,inc]","[live,nation,entertainment,inc,common,stock]",Live Nation Entertainment Inc.,Live Nation Entertainment Inc. Common Stock,0.6666666666666666
24812,AXL,"[american,axle,manufacturing,inc]","[american,axle,manufacturing,holdings,inc,common,stock]","American Axle & Manufacturing, Inc.",American Axle & Manufacturing Holdings Inc. Common Stock,0.5714285714285714
37658,RAIL,"[freightcar,america,inc]","[freightcar,america,inc,common,stock]","FreightCar America, Inc.",FreightCar America Inc. Common Stock,0.6
9935,HNST,"[the,honest,company,inc]","[the,honest,company,inc,common,stock]","The Honest Company, Inc.",The Honest Company Inc. Common Stock,0.6666666666666666
10301,ENPH,"[enphase,energy,inc]","[enphase,energy,inc,common,stock]","Enphase Energy, Inc.",Enphase Energy Inc. Common Stock,0.6
1732,AIG,"[american,international,group,inc]","[american,international,group,inc,new,common,stock]","American International Group, Inc",American International Group Inc. New Common Stock,0.5714285714285714
18440,ASRT,"[assertio,holdings,inc]","[assertio,holdings,inc,common,stock]","Assertio Holdings, Inc.",Assertio Holdings Inc. Common Stock,0.6
19002,X,"[united,states,steel,corporation]","[united,states,steel,corporation,common,stock]",United States Steel Corporation,United States Steel Corporation Common Stock,0.6666666666666666
24661,MTB,"[m,t,bank,corporation]","[m,t,bank,corporation,common,stock]",M&T Bank Corporation,M&T Bank Corporation Common Stock,0.6666666666666666
44356,BYD,"[boyd,gaming,corporation]","[boyd,gaming,corporation,common,stock]",Boyd Gaming Corporation,Boyd Gaming Corporation Common Stock,0.6
18507,PPG,"[ppg,industries,inc]","[ppg,industries,inc,common,stock]","PPG Industries, Inc.",PPG Industries Inc. Common Stock,0.6
39000,CVGI,"[commercial,vehicle,group,inc]","[commercial,vehicle,group,inc,common,stock]","Commercial Vehicle Group, Inc.",Commercial Vehicle Group Inc. Common Stock,0.6666666666666666
39544,FL,"[foot,locker,corporate,services,inc]","[foot,locker,inc]","Foot Locker Corporate Services, Inc.",Foot Locker Inc.,0.6
44263,SAVE,"[spirit,airlines,inc]","[spirit,airlines,inc,common,stock]","Spirit Airlines, Inc.",Spirit Airlines Inc. Common Stock,0.6
7287,KMB,"[kimberly,clark,corporation]","[kimberly,clark,corporation,common,stock]",Kimberly-Clark Corporation,Kimberly-Clark Corporation Common Stock,0.6
9613,TSN,"[tyson,foods,inc]","[tyson,foods,inc,common,stock]","Tyson Foods, Inc.",Tyson Foods Inc. Common Stock,0.6
10328,V,"[visa,inc]","[visa,inc]",Visa Inc.,Visa Inc.,1.0
1977,GILD,"[gilead,sciences,inc]","[gilead,sciences,inc,common,stock]","Gilead Sciences, Inc.",Gilead Sciences Inc. Common Stock,0.6
21799,WFC,"[wells,fargo,company]","[wells,fargo,company,common,stock]",Wells Fargo & Company.,Wells Fargo & Company Common Stock,0.6
15410,TRN,"[trinity,industries,inc]","[trinity,industries,inc,common,stock]",Trinity Industries Inc.,Trinity Industries Inc. Common Stock,0.6
16121,CRD/A,"[crawford,and,company]","[crawford,company]",Crawford and Company,Crawford & Company,0.6666666666666666
32341,BBWI,"[bath,body,works,llc]","[bath,body,works,inc]","Bath & Body Works, LLC",Bath & Body Works Inc.,0.6
11597,AMD,"[advanced,micro,devices,inc]","[advanced,micro,devices,inc,common,stock]","Advanced Micro Devices, Inc.",Advanced Micro Devices Inc. Common Stock,0.6666666666666666
395,AWI,"[armstrong,world,industries,inc,3]","[armstrong,world,industries,inc,common,stock]","ARMSTRONG WORLD INDUSTRIES, INC. (3)",Armstrong World Industries Inc Common Stock,0.5714285714285714
5874,DKS,"[dick,rsquo,s,sporting,goods,inc]","[dick,s,sporting,goods,inc,common,stock]","Dick&rsquo;s Sporting Goods, Inc.",Dick's Sporting Goods Inc Common Stock,0.625
18834,AVY,"[avery,dennison,corporation]","[avery,dennison,corporation,common,stock]",Avery Dennison Corporation,Avery Dennison Corporation Common Stock,0.6
44312,MGM,"[mgm,resorts,international]","[mgm,resorts,international,common,stock]",MGM Resorts International,MGM Resorts International Common Stock,0.6
9800,BBW,"[build,a,bear,workshop,inc]","[build,a,bear,workshop,inc,common,stock]",Build-A-Bear Workshop Inc.,Build-A-Bear Workshop Inc. Common Stock,0.7142857142857143
41213,AMN,"[healthcare,services,group,inc]","[amn,healthcare,services,inc,amn,healthcare,services,inc]","Healthcare Services Group, Inc.",AMN Healthcare Services Inc AMN Healthcare Services Inc,0.6
17726,HVT,"[haverty,furniture,companies,inc]","[haverty,furniture,companies,inc,common,stock]","Haverty Furniture Companies, Inc.",Haverty Furniture Companies Inc. Common Stock,0.6666666666666666
5006,PKG,"[packaging,corporation,of,america]","[packaging,corporation,of,america,common,stock]",Packaging Corporation of America,Packaging Corporation of America Common Stock,0.6666666666666666
17267,A,"[agilent,technologies,inc]","[agilent,technologies,inc,common,stock]","Agilent Technologies, Inc.",Agilent Technologies Inc. Common Stock,0.6
20136,DGLY,"[digital,ally,inc]","[digital,ally,inc,common,stock]","Digital Ally, Inc.",Digital Ally Inc. Common Stock,0.6
24921,JPM,"[jp,morgan,chase,co]","[jp,morgan,chase,co,common,stock]",JP Morgan Chase Co.,JP Morgan Chase & Co. Common Stock,0.6666666666666666
42688,HRTX,"[heron,therapeutics,inc]","[heron,therapeutics,inc,common,stock]","Heron Therapeutics, Inc.",Heron Therapeutics Inc. Common Stock,0.6
42853,PBI,"[pitney,bowes,inc]","[pitney,bowes,inc,common,stock]",Pitney Bowes Inc.,Pitney Bowes Inc. Common Stock,0.6
503,THG,"[vesta,insurance,group,inc]","[hanover,insurance,group,inc]","VESTA INSURANCE GROUP, INC.",Hanover Insurance Group Inc,0.6
12872,LNC,"[lincoln,national,corporation]","[lincoln,national,corporation,common,stock]",Lincoln National Corporation,Lincoln National Corporation Common Stock,0.6
22331,HPE,"[hewlett,packard,enterprise,company,hpe]","[hewlett,packard,enterprise,company,common,stock]",Hewlett Packard Enterprise Company (HPE),Hewlett Packard Enterprise Company Common Stock,0.5714285714285714
3340,LYV,"[live,nation,entertainment,inc,rsquo]","[live,nation,entertainment,inc,common,stock]","Live Nation Entertainment, Inc.&rsquo;",Live Nation Entertainment Inc. Common Stock,0.5714285714285714
22347,BBBY,"[bed,bath,beyond,inc]","[bed,bath,beyond,inc,common,stock]",Bed Bath & Beyond Inc.,Bed Bath & Beyond Inc. Common Stock,0.6666666666666666
43242,BMRN,"[biomarin,pharmaceutical,inc]","[biomarin,pharmaceutical,inc,common,stock]",BioMarin Pharmaceutical Inc.,BioMarin Pharmaceutical Inc. Common Stock,0.6
1634,WFC,"[wells,fargo,company]","[wells,fargo,company,common,stock]",Wells Fargo & Company,Wells Fargo & Company Common Stock,0.6
19419,LLY,"[eli,lilly,and,company]","[eli,lilly,and,company,common,stock]",Eli Lilly and Company,Eli Lilly and Company Common Stock,0.6666666666666666
7996,PBI,"[pitney,bowes,inc]","[pitney,bowes,inc,common,stock]",Pitney Bowes Inc,Pitney Bowes Inc. Common Stock,0.6
36631,DVN,"[devon,energy,corporation]","[devon,energy,corporation,common,stock]",Devon Energy Corporation,Devon Energy Corporation Common Stock,0.6
7079,BJRI,"[bj,s,restaurants,inc]","[bj,s,restaurants,inc,common,stock]",BJ's Restaurants Inc.,BJ's Restaurants Inc. Common Stock,0.6666666666666666
18831,COKE,"[coca,cola,consolidated,inc]","[coca,cola,consolidated,inc,common,stock]","Coca-Cola Consolidated, Inc.",Coca-Cola Consolidated Inc. Common Stock,0.6666666666666666
27562,BK,"[the,bank,of,new,york,mellon]","[the,bank,of,new,york,mellon,corporation,common,stock]",The Bank of New York Mellon,The Bank of New York Mellon Corporation Common Stock,0.6666666666666666
769,LPX,"[louisiana,pacific,corporation]","[louisiana,pacific,corporation,common,stock]",LOUISIANA PACIFIC CORPORATION,Louisiana-Pacific Corporation Common Stock,0.6
19459,BMY,"[bristol,myers,squibb,company]","[bristol,myers,squibb,company,common,stock]",Bristol-Myers Squibb Company,Bristol-Myers Squibb Company Common Stock,0.6666666666666666
2978,ROST,"[ross,stores,inc]","[ross,stores,inc,common,stock]","Ross Stores, Inc",Ross Stores Inc. Common Stock,0.6
3705,DRI,"[darden,restaurants,inc]","[darden,restaurants,inc,common,stock]","Darden Restaurants, Inc.",Darden Restaurants Inc. Common Stock,0.6
