id1,id2,joinKey1,joinKey2,OG-Company-Warn,OG-Company-Nasdaq,jaccard
43675,MMSI,"[merit,medical,systems,inc]","[merit,medical,systems,inc,common,stock]","Merit Medical Systems, Inc.",Merit Medical Systems Inc. Common Stock,0.6666666666666666
15841,MHK,"[mohawk,industries,inc]","[mohawk,industries,inc,common,stock]","Mohawk Industries, Inc.",Mohawk Industries Inc. Common Stock,0.6
36630,DVN,"[devon,energy,corporation]","[devon,energy,corporation,common,stock]",Devon Energy Corporation,Devon Energy Corporation Common Stock,0.6
40200,HAIN,"[the,hain,celestial,group,inc]","[hain,celestial,group,inc,the,common,stock]","The Hain Celestial Group, Inc",Hain Celestial Group Inc. (The) Common Stock,0.7142857142857143
43346,TMPOW,"[tempo,automation,inc]","[tempo,automation,holdings,inc,warrant]","Tempo Automation, Inc.",Tempo Automation Holdings Inc. Warrant,0.6
11835,HRL,"[hormel,foods,corporation]","[hormel,foods,corporation,common,stock]",HORMEL FOODS CORPORATION,Hormel Foods Corporation Common Stock,0.6
12506,CAG,"[conagra,brands,inc]","[conagra,brands,inc,common,stock]","Conagra Brands, Inc.",ConAgra Brands Inc. Common Stock,0.6
42733,AFIB,"[acutus,medical,inc]","[acutus,medical,inc,common,stock]","Acutus Medical, Inc.",Acutus Medical Inc. Common Stock,0.6
19557,T,"[at,t]","[at,t,inc]",AT&T,AT&T Inc.,0.6666666666666666
36420,LXRX,"[lexicon,pharmaceuticals,inc]","[lexicon,pharmaceuticals,inc,common,stock]","Lexicon Pharmaceuticals, Inc.",Lexicon Pharmaceuticals Inc. Common Stock,0.6
3985,BSX,"[boston,scientific,corporation]","[boston,scientific,corporation,common,stock]",Boston Scientific Corporation,Boston Scientific Corporation Common Stock,0.6
10916,CRC,"[california,resources,corporation]","[california,resources,corporation,common,stock]",California Resources Corporation,California Resources Corporation Common Stock,0.6
16497,WEN,"[the,wendy,s,company]","[wendy,s,company,the,common,stock]",The Wendy's Company,Wendy's Company (The) Common Stock,0.6666666666666666
2188,DGX,"[quest,diagnostics,incorporated]","[quest,diagnostics,incorporated,common,stock]",Quest Diagnostics Incorporated,Quest Diagnostics Incorporated Common Stock,0.6
35360,RCM,"[r1,rcm,inc]","[r1,rcm,inc,common,stock]",R1 RCM Inc.,R1 RCM Inc. Common Stock,0.6
9977,BA,"[the,boeing,company]","[boeing,company,the,common,stock]",The Boeing Company,Boeing Company (The) Common Stock,0.6
25120,IBM,"[international,business,machines,corporation,ibm]","[international,business,machines,corporation,common,stock]",International Business Machines Corporation (IBM),International Business Machines Corporation Common Stock,0.5714285714285714
39913,BDX,"[becton,dickinson,and,company]","[becton,dickinson,and,company,common,stock]","Becton, Dickinson and Company",Becton Dickinson and Company Common Stock,0.6666666666666666
5427,VIEWW,"[view,inc]","[view,inc,warrant]",View Inc,View Inc. Warrant,0.6666666666666666
8934,DECK,"[deckers,outdoor,corporation]","[deckers,outdoor,corporation,common,stock]",Deckers Outdoor Corporation,Deckers Outdoor Corporation Common Stock,0.6
9573,GE,"[general,electric,company]","[general,electric,company,common,stock]",General Electric Company,General Electric Company Common Stock,0.6
14238,ABG,"[asbury,automotive,group,inc]","[asbury,automotive,group,inc,common,stock]","Asbury Automotive Group, Inc.",Asbury Automotive Group Inc Common Stock,0.6666666666666666
1786,WFC,"[wells,fargo,company]","[wells,fargo,company,common,stock]",Wells Fargo Company,Wells Fargo & Company Common Stock,0.6
36779,DVN,"[devon,energy,corporation]","[devon,energy,corporation,common,stock]",Devon Energy Corporation,Devon Energy Corporation Common Stock,0.6
27718,ARW,"[arrow,electronics,inc]","[arrow,electronics,inc,common,stock]","Arrow Electronics, Inc.",Arrow Electronics Inc. Common Stock,0.6
34160,EXPE,"[expedia,group,inc]","[expedia,group,inc,common,stock]","Expedia Group, Inc.",Expedia Group Inc. Common Stock,0.6
36269,SD,"[sandridge,energy,inc]","[sandridge,energy,inc,common,stock]","Sandridge Energy, Inc.",SandRidge Energy Inc. Common Stock,0.6
11150,BSX,"[boston,scientific,corporation]","[boston,scientific,corporation,common,stock]",Boston Scientific Corporation,Boston Scientific Corporation Common Stock,0.6
12871,LNC,"[lincoln,national,corporation]","[lincoln,national,corporation,common,stock]",Lincoln National Corporation,Lincoln National Corporation Common Stock,0.6
1303,T,"[at,t]","[at,t,inc]",AT&T,AT&T Inc.,0.6666666666666666
21694,SP,"[sp,plus,corporation]","[sp,plus,corporation,common,stock]",SP Plus Corporation,SP Plus Corporation Common Stock,0.6
43408,ADVM,"[adverum,biotechnologies,inc]","[adverum,biotechnologies,inc,common,stock]","Adverum Biotechnologies, Inc.",Adverum Biotechnologies Inc. Common Stock,0.6
9752,BZFDW,"[buzzfeed,inc]","[buzzfeed,inc,warrant]","BuzzFeed, Inc.",BuzzFeed Inc. Warrant,0.6666666666666666
3178,DLA,"[delta,apparel,inc]","[delta,apparel,inc,common,stock]","Delta Apparel, Inc.",Delta Apparel Inc. Common Stock,0.6
40009,MOH,"[molina,healthcare,inc]","[molina,healthcare,inc,common,stock]",Molina Healthcare Inc.,Molina Healthcare Inc Common Stock,0.6
1270,T,"[at,t]","[at,t,inc]",AT&T,AT&T Inc.,0.6666666666666666
17747,BA,"[the,boeing,company]","[boeing,company,the,common,stock]",The Boeing Company,Boeing Company (The) Common Stock,0.6
23760,T,"[at,t,communications,inc]","[at,t,inc]","AT&T Communications, Inc.",AT&T Inc.,0.75
33462,CVGI,"[commercial,vehicle,group,inc]","[commercial,vehicle,group,inc,common,stock]",Commercial Vehicle Group Inc.,Commercial Vehicle Group Inc. Common Stock,0.6666666666666666
9896,MOH,"[molina,healthcare,inc]","[molina,healthcare,inc,common,stock]","Molina Healthcare, Inc.",Molina Healthcare Inc Common Stock,0.6
11050,T,"[at,t]","[at,t,inc]",AT&T,AT&T Inc.,0.6666666666666666
8630,BSX,"[boston,scientific,corporation]","[boston,scientific,corporation,common,stock]",Boston Scientific Corporation,Boston Scientific Corporation Common Stock,0.6
