id1,id2,joinKey1,joinKey2,OG-Company-Warn,OG-Company-Nasdaq,jaccard
3083,MPC,"[marathon,petroleum,lp]","[marathon,petroleum]",Marathon Petroleum Company LP,Marathon Petroleum Corporation Common Stock,0.6666666666666666
31223,BNED,"[barnes,noble]","[barnes,noble,education]","Barnes & Noble, Inc.",Barnes & Noble Education Inc Common Stock,0.6666666666666666
35334,NTRA,[natera],[natera],"Natera, Inc.",Natera Inc. Common Stock,1.0
36087,PFSW,[pfsweb],[pfsweb],"PFSweb, Inc.",PFSweb Inc. Common Stock,1.0
37688,ARW,"[arrow,electronics]","[arrow,electronics]","Arrow Electronics, Inc.",Arrow Electronics Inc. Common Stock,1.0
38342,LFLY,"[leafly,holdings]","[leafly,holdings]",Leafly Holdings Inc,Leafly Holdings Inc. Common Stock,1.0
38855,BA,[boeing],[boeing],Boeing,Boeing Company (The) Common Stock,1.0
39020,SEE,"[sealed,air]","[sealed,air]",Sealed Air,Sealed Air Corporation Common Stock,1.0
43961,TMO,"[thermo,fisher]","[thermo,fisher,scientific]",Thermo Fisher,Thermo Fisher Scientific Inc Common Stock,0.6666666666666666
5437,MMI,"[marcus,millichap]","[marcus,millichap]",Marcus & Millichap,Marcus & Millichap Inc. Common Stock,1.0
8174,T,"[at,t]","[at,t]",AT&T,AT&T Inc.,1.0
8245,EGHT,[8x8],[8x8],"8x8, Inc.",8x8 Inc Common Stock,1.0
8914,EBAY,[ebay],[ebay],eBay Inc.,eBay Inc. Common Stock,1.0
9331,MAT,[mattel],[mattel],"Mattel, Inc.",Mattel Inc. Common Stock,1.0
9759,BA,[boeing],[boeing],The Boeing Company,Boeing Company (The) Common Stock,1.0
10424,AVGO,[broadcom],[broadcom],Broadcom,Broadcom Inc. Common Stock,1.0
11275,BA,[boeing],[boeing],Boeing Company,Boeing Company (The) Common Stock,1.0
12564,NOC,"[northrop,grumman]","[northrop,grumman]",Northrop Grumman,Northrop Grumman Corporation Common Stock,1.0
188,T,"[at,t,alabama]","[at,t]",AT&T ALABAMA,AT&T Inc.,0.6666666666666666
19208,FWRD,"[forward,air]","[forward,air]","Forward Air, Inc.",Forward Air Corporation Common Stock,1.0
20167,ZUMZ,[zumiez],[zumiez],Zumiez,Zumiez Inc. Common Stock,1.0
21906,WMT,[walmart],[walmart],Walmart,Walmart Inc. Common Stock,1.0
23510,PLCE,"[children,s,place,2018]","[children,s,place]",The Children's Place 2018,Children's Place Inc. (The) Common Stock,0.75
